Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,01-02-2026,25333.75,25440.9,24571.75,24825.45,-495.2,-1.96,379370206,25572.6,21.57,3.38,1.3
Nifty Next 50,01-02-2026,67537.15,67991.9,65300.05,66360.55,-1479.3,-2.18,372490632,17367.68,19.26,3.45,1.44
Nifty 100,01-02-2026,25894.25,26013,25105.35,25385.85,-516.15,-1.99,751860838,42940.29,21.16,3.39,1.33
Nifty 200,01-02-2026,14089.75,14151.6,13637.85,13805.8,-287.25,-2.04,2028593452,65929.07,22.47,3.51,1.24
Nifty 500,01-02-2026,23067.5,23160.1,22337.3,22611.3,-468.2,-2.03,2763739018,94014.67,23.01,3.52,1.18
Nifty Midcap 50,01-02-2026,16709.6,16757.35,16038.55,16349.4,-343.85,-2.06,293435084,13157.24,31.38,4.36,.84
NIFTY Midcap 100,01-02-2026,58435.7,58650.15,56126.55,57120.8,-1311.2,-2.24,1276732614,22988.78,31.23,4.16,.84
NIFTY Smallcap 100,01-02-2026,16767.7,16780.5,16155.35,16418.15,-460.95,-2.73,503152003,21923.48,29.28,3.55,.78
Nifty50 Dividend Points,01-02-2026,-,-,-,264.68,0.0,-,-,-,-,-,-
Nifty Auto,01-02-2026,26855.8,27144.85,25928.5,26190.65,-559.7,-2.09,29607619,3076.96,28.14,4.49,1.21
Nifty Bank,01-02-2026,59607.65,59865.7,57783.2,58417.2,-1193.25,-2,204312522,5673.45,15.8,2.09,1
Nifty Energy,01-02-2026,35176,35307.65,33815.25,34056.35,-1081.7,-3.08,285408499,7190.18,14.6,2.22,2.18
Nifty Financial Services,01-02-2026,27326.8,27427.75,26368.1,26699.1,-631.75,-2.31,127632340,11770.55,17.22,2.81,.86
Nifty FMCG,01-02-2026,51316.6,51324.8,49741.65,50042.8,-1172.4,-2.29,43610476,2144.28,36.19,9.03,2.25
Nifty IT,01-02-2026,37936.95,38833.75,37297.55,38252.95,216.8,.57,34222550,3406.81,27.18,7.1,2.77
Nifty Media,01-02-2026,1381.9,1383.45,1347.75,1360.2,-25.0,-1.8,13682780,190.18,29.15,1.43,1.42
Nifty Metal,01-02-2026,11429.5,11676.8,11187.2,11348.65,-478.9,-4.05,326892448,15234.11,20.19,2.96,1.61
Nifty MNC,01-02-2026,30179.4,30422,29521.3,29783.85,-635.6,-2.09,62856982,5303.52,37.25,8.56,1.55
Nifty Pharma,01-02-2026,21874.7,21917.75,21436.7,21535.3,-179.8,-.83,17440057,1627.1,32.58,4.69,.68
Nifty PSU Bank,01-02-2026,8969.3,8996.4,8387.95,8517.2,-502.15,-5.57,151433180,3203.8,8.52,1.39,2.25
Nifty Realty,01-02-2026,785.1,788.2,746.85,765.65,-17.35,-2.22,42771743,2691.83,34.46,3.7,.39
Nifty India Consumption,01-02-2026,11504.65,11530.8,11145.5,11271.7,-197.3,-1.72,96142819,9204.26,37.52,7.62,1.16
Nifty Commodities,01-02-2026,9561.1,9658.7,9300.4,9330.65,-319.3,-3.31,224866224,10078.76,16.18,2.22,1.66
Nifty Dividend Opportunities 50,01-02-2026,6380.8,6400.05,6177.2,6264.2,-142.45,-2.22,576547612,21245.95,14.68,2.91,2.9
Nifty Infrastructure,01-02-2026,9172.4,9237.35,8844.5,8923.35,-229.85,-2.51,212115245,9244.16,20.17,2.93,1.1
Nifty PSE,01-02-2026,10197.45,10251.9,9687.5,9848.0,-323.25,-3.18,402264670,13496.91,11.04,1.98,2.93
Nifty Services Sector,01-02-2026,33124.95,33246.85,32175.4,32652.2,-476.25,-1.44,184997438,15869,21.01,3.44,1.29
Nifty50 Shariah,01-02-2026,4785.8,4824.55,4688.8,4749.85,-46.35,-.97,58810017,6076.71,24.98,4.57,2.05
Nifty500 Shariah,01-02-2026,6975.1,7002.6,6812.35,6896.4,-87.05,-1.25,617009981,28932.33,27.15,4.66,1.44
Nifty Low Volatility 50,01-02-2026,24961.35,25023,24348,24546.1,-358.8,-1.44,150924941,15830.19,29.94,4.94,1.27
Nifty Alpha 50,01-02-2026,48425.3,48434.5,46191.65,46961.25,-1675.6,-3.45,278640337,24670.68,29.74,4.06,.63
Nifty High Beta 50,01-02-2026,3749.7,3769.25,3560.9,3632.65,-142.05,-3.76,1271598992,30388.08,22.49,2.82,1.18
Nifty100 Equal Weight,01-02-2026,33169.95,33324.6,32075.7,32462.2,-753.95,-2.27,751860838,42940.29,21.91,3.6,1.33
Nifty100 Liquid 15,01-02-2026,7290.9,7341.3,6971.55,7091.8,-195.7,-2.69,211247384,11629.03,22.03,3.2,.91
Nifty CPSE,01-02-2026,6842.5,6891.85,6468.2,6544.25,-269.1,-3.95,184707816,6741.43,13.52,2.1,2.76
Nifty50 Value 20,01-02-2026,13209.75,13244.75,12848.55,12981.1,-245.55,-1.86,162119930,10479.14,16.98,2.99,2.01
Nifty Midcap Liquid 15,01-02-2026,15554.7,15585.45,14792.9,15136.15,-377.65,-2.43,182391383,8208.93,35.48,4.3,.65
Nifty Shariah 25,01-02-2026,8292.85,8336.45,8094.8,8172.8,-116.4,-1.4,61121688,6811.34,29.42,5.18,1.86
India VIX,01-02-2026,13.6325,16.1125,13.3475,15.1,1.46,10.73,-,-,-,-,-
Nifty Growth Sectors 15,01-02-2026,12007.85,12113.35,11770.55,11961.15,-11.45,-.1,40035323,5709.96,31.3,7.11,1.77
Nifty50 TR 1x Inverse,01-02-2026,169.35,174.45,168.65,172.75,3.35,1.98,-,-,-,-,-
Nifty50 TR 2x Leverage,01-02-2026,20593.7,20765.55,19360.65,19767.55,-809.95,-3.94,-,-,-,-,-
Nifty50 PR 1x Inverse,01-02-2026,207.1,213.3,206.25,211.25,4.1,1.98,-,-,-,-,-
Nifty50 PR 2x Leverage,01-02-2026,13745.95,13860.65,12922.9,13194.5,-540.65,-3.94,-,-,-,-,-
NIFTY100 Quality 30,01-02-2026,5802.75,5810.6,5596.2,5682.0,-124.6,-2.15,238313837,17303.69,30.98,7.81,1.84
Nifty India Railways PSU,01-02-2026,-,-,-,3271.6,-124.83,-3.68,317586419,9407.48,24.36,3.34,1.54
Nifty Consumer Durables,01-02-2026,34552.55,34984.15,33563.2,34232.1,-155.45,-.45,16930775,2957.18,56.87,10.73,.43
Nifty Non-Cyclical Consumer,01-02-2026,14957.15,14983.1,14519.85,14714.8,-211.5,-1.42,91119188,6799.7,51.24,10.16,1.09
Nifty500 Multicap India Manufacturing 50:30:20,01-02-2026,15291.55,15418.8,14785.9,14929.1,-358.8,-2.35,386975707,23477.39,27.33,3.87,.86
Nifty EV & New Age Automotive,01-02-2026,2962.6,2979.9,2862.35,2905.55,-48.8,-1.65,112920375,6697.43,33.85,4.57,1
Nifty500 LargeMidSmall Equal-Cap Weighted,01-02-2026,17341.7,17397.95,16778.45,17001.7,-361.85,-2.08,2763739018,94014.67,25.59,3.6,.98
Nifty India Tourism,01-02-2026,7733.2,7781.95,7446.9,7589.85,-115.0,-1.49,20511508,724.74,60.53,8.98,.28
Nifty MidSmallcap 400,01-02-2026,19345.35,19397.7,18676.25,18955.9,-410.05,-2.12,2011878180,51074.38,29.36,3.87,.82
Nifty IPO,01-02-2026,1939.5,1945.4,1885.5,1917.1,-25.0,-1.29,197608013,2869.05,56.46,10.17,.17
Nifty India Internet,01-02-2026,1284.75,1295.1,1230.75,1273.8,-12.2,-.95,104848481,3934.73,234.48,6.31,.37
Nifty Chemicals,01-02-2026,27831.7,27960.85,26876.05,27091.0,-728.35,-2.62,7112627,988.85,36.61,4,.64
Nifty100 Low Volatility 30,01-02-2026,20504.9,20529.7,19975.95,20149.2,-298.05,-1.46,128086112,13656.88,27.96,4.97,1.33
NIFTY Quality Low-Volatility 30,01-02-2026,17056.6,17068.9,16651,16763.05,-247.5,-1.45,89432528,8955.94,27.57,6.1,1.78
NIFTY Alpha Quality Low-Volatility 30,01-02-2026,22212.85,22266.85,21593.85,21742.5,-397.9,-1.8,165447009,11149.46,31.76,7.5,1.55
NIFTY Alpha Quality Value Low-Volatility 30,01-02-2026,20888.4,20939.7,20322.25,20489.1,-348.9,-1.67,227788911,15273.34,22.32,4.65,1.9
NIFTY200 Quality 30,01-02-2026,21012.25,21057.15,20249.25,20569.6,-435.65,-2.07,220303059,17925.05,31.43,10.13,1.96
NIFTY Midcap150 Quality 50,01-02-2026,23134.3,23208.35,22540.2,22794.9,-320.9,-1.39,83051132,6502.2,31.63,7.5,1.42
Nifty200 Momentum 30,01-02-2026,30234.6,30295.95,28916.1,29415.15,-912.0,-3.01,119922604,12570.34,25.07,4.34,.86
Nifty India Manufacturing,01-02-2026,15022.6,15163.85,14509.7,14699.75,-355.95,-2.36,416326563,26501.12,26.7,4.17,1.02
Nifty 50 Futures Index,01-02-2026,-,-,-,6264.82,-141.89,-2.21,-,-,-,-,-
Nifty 50 Arbitrage,01-02-2026,-,-,-,2634.63,4.78,.18,-,-,-,-,-
Nifty 50 Futures TR Index,01-02-2026,-,-,-,26465.39,-590.33,-2.18,-,-,-,-,-
Nifty100 ESG Sector Leaders,01-02-2026,4216.45,4233.75,4105.95,4150.8,-70.0,-1.66,352233151,22858.84,22.39,3.56,1.25
Nifty200 Alpha 30,01-02-2026,24376.5,24385.05,23163.6,23603.25,-800.95,-3.28,210754452,15852.81,27.12,4.41,.72
Nifty Midcap150 Momentum 50,01-02-2026,60406.8,60413.3,57842.35,58892.9,-1625.65,-2.69,892735026,12165.24,31.16,4.81,.82
Nifty Smallcap250 Quality 50,01-02-2026,24157.25,24256.8,23520.2,23768.3,-385.2,-1.59,47180432,3076.73,23,4.85,1.77
Nifty Smallcap250 Momentum Quality 100,01-02-2026,41815.4,41919.25,40300.05,40893.4,-1187.95,-2.82,278609545,20419.13,26.91,4.51,.97
Nifty MidSmallcap400 Momentum Quality 100,01-02-2026,46500.8,46519.4,44526.5,45356.2,-1465.45,-3.13,387613588,29053.32,27.52,5.82,1.02
Nifty500 Momentum 50,01-02-2026,50524.15,50582.05,48377.3,49219.65,-1564.2,-3.08,167368260,18811.01,27.77,4.58,.75
Nifty200 Value 30,01-02-2026,15073.7,15186.1,14547,14720.4,-485.2,-3.19,401353157,13409.06,9.56,1.49,2.78
Nifty Top 10 Equal Weight,01-02-2026,9581.85,9642.4,9354.75,9450.05,-122.9,-1.28,84641396,8344.65,20.34,3.5,1.48
Nifty500 Multicap Momentum Quality 50,01-02-2026,40151.5,40197.55,38207.8,38981.2,-1493.0,-3.69,353843390,30238.55,32.24,7.55,1.1
Nifty Top 15 Equal Weight,01-02-2026,10616.8,10664.75,10307.95,10412.35,-193.35,-1.82,103305947,11247.13,21.18,3.69,1.37
Nifty Top 20 Equal Weight,01-02-2026,9358,9391.3,9065,9193.4,-144.85,-1.55,137320833,13232.54,22.82,3.65,1.34
Nifty500 Quality 50,01-02-2026,18595.85,18678.3,17792.05,18178.8,-393.6,-2.12,330831077,21682.9,29.53,9.78,1.62
Nifty500 Low Volatility 50,01-02-2026,22496,22546.75,21896.05,22060.4,-373.65,-1.67,102768169,7515.29,24.06,4.43,1.74
NIFTY100 ESG,01-02-2026,5064.35,5082.15,4918.95,4985.45,-85.3,-1.68,566912764,31398.45,22.73,3.89,1.33
NIFTY100 Enhanced ESG,01-02-2026,5106.4,5122.8,4958.55,5025.7,-85.25,-1.67,518063251,28163.49,22.78,3.9,1.33
NIFTY500 Value 50,01-02-2026,15796.45,15926.35,15276.05,15454.1,-515.8,-3.23,527640471,15590.55,9.65,1.49,2.64
NIFTY100 Alpha 30,01-02-2026,17562.25,17671.8,16881.9,17125.75,-436.25,-2.48,230756992,14302.95,26.36,4.97,.77
Nifty500 Multifactor MQVLv 50,01-02-2026,31026.6,31104.9,30077.55,30355.7,-741.7,-2.39,207778069,10054.9,14.59,2.79,2.05
NIFTY Alpha Low-Volatility 30,01-02-2026,26353.75,26396.4,25613,25791.55,-505.5,-1.92,69190397,9108.02,30.71,4.56,.73
Nifty500 Flexicap Quality 30,01-02-2026,10421.4,10454.35,10078.35,10220.95,-196.2,-1.88,181114659,13955.83,31.53,6.92,1.89
Nifty Total Market Momentum Quality 50,01-02-2026,40888.4,40908.3,38934.15,39720.4,-1450.15,-3.52,325046043,26364.73,30.57,7.19,1.05
Nifty500 Equal Weight,01-02-2026,13573.3,13639.7,13178.15,13324.95,-253.05,-1.86,2763739018,94014.67,25.37,3.47,.95
NIFTY50 Equal Weight,01-02-2026,32703.9,32837.45,31675.65,31974.6,-727.05,-2.22,379370206,25572.6,23.83,3.64,1.38
Nifty India Corporate Group Index - Mahindra Group,01-02-2026,-,-,-,37643.44,-764.41,-1.99,4160996,750.09,28.74,4.73,1.31
Nifty India Corporate Group Index - Tata Group,01-02-2026,-,-,-,15743.11,-19.03,-.12,54287980,3263.43,30.64,5.86,1.92
Nifty India Corporate Group Index - Aditya Birla Group,01-02-2026,-,-,-,9009.76,-325.78,-3.49,742277685,2097.42,77.46,3.1,.47
Nifty Conglomerate 50,01-02-2026,-,-,-,14165.99,-324.64,-2.24,869566833,12137.72,27.62,3.75,1.04
Nifty India Infrastructure & Logistics,01-02-2026,11111.35,11165.05,10607.45,10751.35,-316.65,-2.86,1292658632,25198.86,29.09,3.84,.88
Nifty India FPI 150,01-02-2026,1567.35,1574.8,1517.95,1537.25,-30.7,-1.96,992704819,53948.6,23.6,3.73,1.25
Nifty Waves,01-02-2026,1900.45,1906.8,1867.3,1880.0,-29.8,-1.56,17373255,197.87,-,2.26,.79
Nifty Smallcap 500,01-02-2026,-,-,-,17363.56,-344.83,-1.95,1033290376,31986.31,26.16,3.12,.78
Nifty500 Healthcare,01-02-2026,17795.4,17871.4,17538.35,17622.1,-91.55,-.52,27349941,2722.35,36.75,5.33,.55
Nifty India Corporate Group Index - Tata Group 25% Cap,01-02-2026,14854.8,15023.1,14477.5,14743.4,-157.7,-1.06,46982878,3030.4,32.32,4.67,1.52
Nifty Private Bank,01-02-2026,28587.5,28732.1,28005.75,28204.95,-348.2,-1.22,127509197,3266.41,19.75,2.23,.55
Nifty Smallcap 250,01-02-2026,15701.25,15737.75,15228.95,15421.05,-342.4,-2.17,670198393,26688.04,26.57,3.29,.77
Nifty Smallcap 50,01-02-2026,8121.65,8131.6,7833.65,7968.6,-220.75,-2.7,130775345,10084.76,28.97,3.53,.81
Nifty Midcap 150,01-02-2026,21499.6,21562.1,20703.95,21041.8,-449.1,-2.09,1341679787,24386.34,31.02,4.26,.85
Nifty Midcap Select,01-02-2026,13408.45,13439.2,12795.55,13020.25,-379.8,-2.83,201319856,9954.62,27.4,4.29,.86
NIFTY LargeMidcap 250,01-02-2026,16309.85,16370.25,15760.7,15976.1,-332.9,-2.04,2093540625,67326.63,25.14,3.77,1.09
NIFTY SME EMERGE,01-02-2026,12829.35,12905.65,12718.8,12751.55,-65.35,-.51,-,-,22.35,3.57,.25
Nifty Oil & Gas,01-02-2026,11776.25,11826.6,11407.15,11454.3,-337.4,-2.86,65072164,2863.94,10.38,1.58,2.81
Nifty Financial Services 25/50,01-02-2026,29749.5,29877.85,28709,29069.3,-703.8,-2.36,127632340,11770.55,17.09,2.93,.95
Nifty Healthcare Index,01-02-2026,13991.4,14022.6,13746,13802.3,-91.55,-.66,22963549,2215.83,35.52,5.18,.57
Nifty500 Multicap 50:25:25,01-02-2026,15852.8,15909.5,15345.95,15541.85,-327.05,-2.06,2763739018,94014.67,24.31,3.54,1.07
Nifty Microcap 250,01-02-2026,21278.4,21424.4,20724,20973.2,-295.55,-1.39,365158171,5279.85,24.21,2.68,.84
Nifty Total Market,01-02-2026,12931.65,12984.9,12525.05,12678.4,-259.55,-2.01,3128897189,99294.52,23.05,3.48,1.17
Nifty India Digital,01-02-2026,9007.1,9129.95,8746.6,9015.5,-3.15,-.03,814867369,8036.24,65.31,8.53,1.51
Nifty Mobility,01-02-2026,21965.45,22098.75,21180.65,21458.95,-435.2,-1.99,114701903,6994.96,29.26,4.4,1.11
Nifty India Defence,01-02-2026,8251.05,8359.1,7458.65,7767.75,-416.25,-5.09,135962929,12214.39,51.32,10.37,.52
Nifty Financial Services Ex-Bank,01-02-2026,30782.9,30839.1,29300.15,29953.6,-974.85,-3.15,218149803,17444.4,22.79,4.22,.8
Nifty Housing,01-02-2026,11561.5,11645.8,11175.2,11260.95,-303.7,-2.63,365677345,13904.01,24.06,2.9,.89
Nifty Transportation & Logistics,01-02-2026,24550.8,24736.65,23663.75,23991.35,-469.1,-1.92,89599501,6498.8,36.45,5.17,.88
Nifty MidSmall Financial Services,01-02-2026,20482.9,20488.15,19314.15,19864.5,-751.5,-3.65,229572026,15324.92,28.35,2.86,.67
Nifty MidSmall Healthcare,01-02-2026,41783.9,41962.4,40992.35,41188.35,-535.25,-1.28,17494621,1306.44,38.83,5.03,.46
Nifty MidSmall IT & Telecom,01-02-2026,9842.25,9912.2,9551.05,9777.3,-59.15,-.6,750958041,2325.66,59.09,9.57,1.11
Nifty MidSmall India Consumption,01-02-2026,17523.05,17665.15,17009.6,17247.5,-215.8,-1.24,765688673,4527.51,84.24,8.98,.83
Nifty REITs & InvITs,01-02-2026,-,-,-,1369.04,12.42,.92,2334503,38.69,46.65,2,5.1
Nifty Core Housing,01-02-2026,14727.75,14756.7,14233.7,14324.0,-340.65,-2.32,30011424,4079.77,32.14,3.37,.56
Nifty500 Multicap Infrastructure 50:30:20,01-02-2026,13748.95,13826.4,13267.4,13405.7,-313.8,-2.29,1078955965,13199.51,24.23,3.25,.93
Nifty Rural,01-02-2026,15606.05,15654.85,15037.55,15165.8,-415.75,-2.67,940572601,14878.76,24.63,3.95,1.29
Nifty Capital Markets,01-02-2026,4572.7,4578.85,4231.05,4381.0,-268.3,-5.77,63520191,11635.21,41.95,10.87,1.13
Nifty India New Age Consumption,01-02-2026,11018.4,11073.75,10626.45,10845.6,-143.4,-1.3,923551228,15175.8,50.77,6.41,.74
Nifty India Select 5 Corporate Groups (MAATR),01-02-2026,37347,37602.6,36246.95,36443.35,-1009.05,-2.69,854332961,9036.81,28.29,3.31,.98
Nifty 8-13 yr G-Sec,01-02-2026,2968.62,2968.63,2968.09,2968.09,0.54,.02,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,01-02-2026,3231.25,3231.25,3230.68,3230.68,0.57,.02,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,01-02-2026,3236.96,3236.96,3236.34,3236.34,0.63,.02,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,01-02-2026,3482.01,3482.01,3481.31,3481.31,0.7,.02,-,-,-,-,-
Nifty Composite G-sec Index,01-02-2026,3050.81,3050.82,3050.26,3050.26,0.57,.02,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,01-02-2026,2611.3,2611.31,2610.84,2610.84,0.48,.02,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),01-02-2026,886.06,886.06,886.06,886.06,0.0,0,-,-,-,-,-
Nifty BHARAT Bond Index - April 2030,01-02-2026,1560.54,1560.54,1560.24,1560.24,0.3,.02,-,-,-,-,-
Nifty BHARAT Bond Index - April 2031,01-02-2026,1418.18,1418.19,1417.92,1417.92,0.27,.02,-,-,-,-,-
Nifty BHARAT Bond Index - April 2032,01-02-2026,1288.21,1288.21,1287.96,1287.96,0.25,.02,-,-,-,-,-
Nifty BHARAT Bond Index - April 2033,01-02-2026,1251.09,1251.09,1250.85,1250.85,0.24,.02,-,-,-,-,-
Nifty 1D Rate Index,01-02-2026,-,-,-,2522.5,0.71,.03,-,-,-,-,-
Nifty50 USD,01-02-2026,9537.8,9637.25,9281.6,9351.28,-186.54,-1.96,-,-,-,-,-
